Title,News_Hyperlinks,Published_Date,Sector,Extracted_Entitites,Related_Stock,Img
Berjaya Food enters Iceland with two Starbucks outlets,https://www.klsescreener.com/v2/news/view/1510531/berjaya-food-enters-iceland-with-two-starbucks-outlets,2025-04-23 17:03:43,Consumer Products & Services,"Noun: Berjaya Food,  
Verb: enter,  
Object: Iceland",BJFOOD,https://www.klsescreener.com/v2/img/icon_navbar.png
PAAB’s role in funding development and maintenance of water infrastructure,https://www.klsescreener.com/v2/news/view/1510541/paab-s-role-in-funding-development-and-maintenance-of-water-infrastructure,2025-04-23 17:00:00,Utilities,"Noun: PAAB,  
Verb: fund,  
Object: water infrastructure",PUNCAK,https://assets.theedgemarkets.com/PAAP_Zulkiflee_TEM1570_theedgemalaysia_theedgemalaysia.jpg
"Nissan to spend US$1.4 billion in China, ditching 'slow' response to fast market",https://www.klsescreener.com/v2/news/view/1510519/nissan-to-spend-us-1-4-billion-in-china-ditching-039-slow-039-response-to-fast-market,2025-04-23 16:56:49,Consumer Products & Services,"Noun: Nissan,  
Verb: spend,  
Object: US$1.4 billion",,https://www.klsescreener.com/v2/img/icon_navbar.png
Autel Energy powers up Malaysia's EV market with new charger,https://www.klsescreener.com/v2/news/view/1510525/autel-energy-powers-up-malaysia-s-ev-market-with-new-charger,2025-04-23 16:50:39,Energy,"Noun: Autel Energy,  
Verb: power,  
Object: EV market",,https://assets.theedgemarkets.com/Panoramist_Autel-Energy-EV-BC_Thumb.jpg
Malaysia lost billions by not educating non-citizens — study,https://www.klsescreener.com/v2/news/view/1510523/malaysia-lost-billions-by-not-educating-non-citizens-study,2025-04-23 16:48:15,Health Care,"Noun: Malaysia,  
Verb: lose,  
Object: billions",,https://assets.theedgemarkets.com/Kuala Lumpur_3.jpg
Sandakan launches new air cargo terminal to drive Sabah trade,https://www.klsescreener.com/v2/news/view/1510509/sandakan-launches-new-air-cargo-terminal-to-drive-sabah-trade,2025-04-23 16:45:00,Transportation & Logistics,"Noun: Sandakan,  
Verb: launch,  
Object: air cargo terminal","CAPITALA, CAPITALA-LA",https://www.klsescreener.com/v2/img/icon_navbar.png
Indonesia central bank holds policy rates to keep rupiah stable,https://www.klsescreener.com/v2/news/view/1510513/indonesia-central-bank-holds-policy-rates-to-keep-rupiah-stable,2025-04-23 16:43:09,Financial Services,"Noun: bank,  
Verb: hold,  
Object: policy rates",,https://www.klsescreener.com/v2/img/icon_navbar.png
Taiwan stocks lead rally in Asian equities; Indonesia assets unchanged after cenbank holds rates,https://www.klsescreener.com/v2/news/view/1510521/taiwan-stocks-lead-rally-in-asian-equities-indonesia-assets-unchanged-after-cenbank-holds-rates,2025-04-23 16:42:14,Financial Services,"Noun: Taiwan stocks,  
Verb: lead,  
Object: rally",,https://assets.theedgemarkets.com/Emerging-Markets_theedgemalaysia_187.jpg
Petronas inks 11 MOUs to strengthen OGSE sector,https://www.klsescreener.com/v2/news/view/1510499/petronas-inks-11-mous-to-strengthen-ogse-sector,2025-04-23 16:38:31,Energy,"Noun: Petronas,  
Verb: ink,  
Object: MOUs",MUHIBAH,https://www.klsescreener.com/v2/img/icon_navbar.png
"Witnesses point to doctor's role in Kevin Morais murder, court told",https://www.klsescreener.com/v2/news/view/1510505/witnesses-point-to-doctor-s-role-in-kevin-morais-murder-court-told,2025-04-23 16:36:26,Health Care,"Noun: Witnesses,  
Verb: point,  
Object: role",,https://assets.theedgemarkets.com/kevin morais_1.jpg
May 27 hearing for Opposition MPs to hold watching brief in Najib’s addendum hearing,https://www.klsescreener.com/v2/news/view/1510503/may-27-hearing-for-opposition-mps-to-hold-watching-brief-in-najib-s-addendum-hearing,2025-04-23 16:32:38,Financial Services,"Noun: MPs,  
Verb: hold,  
Object: watching brief",,https://assets.theedgemarkets.com/20250417-NAJIB-1MDB-TANORE-tr-High-Court-SY8-APP_theedgemalaysia.jpg
"Oil up more than 1% on fresh Iran sanctions, lower US crude stocks",https://www.klsescreener.com/v2/news/view/1510489/oil-up-more-than-1-on-fresh-iran-sanctions-lower-us-crude-stocks,2025-04-23 16:28:00,Energy,"Noun: Oil,  
Verb: be,  
Object: sanctions",,https://www.klsescreener.com/v2/img/icon_navbar.png
Who will win the tussle over KL’s iconic tower?,https://www.klsescreener.com/v2/news/view/1510485/who-will-win-the-tussle-over-kl-s-iconic-tower,2025-04-23 16:00:00,Property,"Noun: Who,  
Verb: win,  
Object: tussle","LSH, TM",https://assets.theedgemarkets.com/KL-Tower_TEM1570_theedgemalaysia_theedgemalaysia.jpg
"The Edge Malaysia | Nawawi Tie Leung Property Consultants Penang Housing Monitor 4Q2024: Market sees stable performance in 4Q2024,   driven by residential sector",https://www.klsescreener.com/v2/news/view/1510483/the-edge-malaysia-nawawi-tie-leung-property-consultants-penang-housing-monitor-4q2024-market-sees-stable-performance-in-4q2024-driven-by-residential-sector,2025-04-23 16:00:00,Property,"Noun: Market,  
Verb: see,  
Object: stable performance","AME, AME-WA, BKAWAN, SKYWLD, SPSETIA",https://assets.theedgemarkets.com/CC7n8_1570_PenangProperty_thumb_theedgemalaysia_theedgemalaysia.jpg
