Unnamed: 0,Name,Code,Sector,Industry,Price,Change%,Volume,MCap.(M),Long Name
16,RL,0219.KL,Energy,"Energy, Infrastructure, Equipment & Services",0.35,1.4,151444.0,117.2,Reservoir Link Energy Bhd
17,EUROSP,7094.KL,Consumer Products & Services,Houshold Goods,2.62,0.0,0.0,116.38,Eurospan Holdings Berhad
18,CRESNDO,6718.KL,Property,Property,1.28,1.6,1181.0,1081.78,Crescendo Corporation Berhad
19,MFGROUP,03015.KL,Consumer Products & Services,Consumer Services,0.24,0.0,0.0,76.8,MANFORCE GROUP BERHAD
20,ENEST,03025.KL,Consumer Products & Services,Consumer Services,0.14,0.0,0.0,65.1,Enest Group Berhad
21,M&G,5078.KL,Transportation & Logistics,Transportation & Logistics Services,0.285,-1.7,8744.0,222.55,Marine & General Berhad
22,BAUTO,5248.KL,Consumer Products & Services,Automotive,1.09,-2.7,22762.0,1277.67,Bermaz Auto Berhad
23,HUPSENG,5024.KL,Consumer Products & Services,Food & Beverages,1.01,0.0,10998.0,808.0,Hup Seng Industries Berhad
24,BURSA,1818.KL,Financial Services,Other Financials,7.8,0.0,22417.0,6312.53,Bursa Malaysia Berhad
25,FBBHD,03026.KL,Industrial Products & Services,Industrial Services,0.35,0.0,0.0,75.6,Fibromat (M) Berhad
26,HUMEIND,5000.KL,Industrial Products & Services,Building Materials,2.8,0.4,2457.0,2031.36,Hume Cement Industries Berhad
27,RGB,0037.KL,Consumer Products & Services,"Travel, Leisure & Hospitality",0.39,2.6,63039.0,603.82,RGB International Bhd.
28,SMRT,0117.KL,Technology,Digital Services,0.97,-3.0,3001.0,441.59,SMRT Holdings Berhad
29,ADB,0276.KL,Technology,Software,0.98,0.5,4964.0,539.49,Autocount Dotcom Berhad
30,WELLCAL,7231.KL,Industrial Products & Services,"Industrial Materials, Components & Equipment",1.47,-1.3,2845.0,731.98,Wellcall Holdings Berhad
31,KEYFIELD,5321.KL,Energy,"Energy, Infrastructure, Equipment & Services",1.86,-5.6,33220.0,1495.68,Keyfield International Berhad
32,AMWAY,6351.KL,Consumer Products & Services,Retailers,6.32,-0.2,700.0,1038.92,Amway (Malaysia) Holdings Berhad
33,BNASTRA,7195.KL,Construction,Construction,1.75,0.6,6320.0,1907.51,Binastra Corporation Berhad
34,TEOSENG,7252.KL,Consumer Products & Services,Agricultural Products,1.04,1.0,7152.0,624.02,Teo Seng Capital Berhad
35,ALPHA,0303.KL,Health Care,Health Care Providers,0.305,1.7,15982.0,1482.3,
36,MRDIY,5296.KL,Consumer Products & Services,Retailers,1.41,2.2,133048.0,13347.54,Mr D.I.Y. Group (M) Berhad
37,GASMSIA,5209.KL,Utilities,"Gas, Water & Multi-Utilities",4.12,-0.5,3261.0,5290.08,Gas Malaysia Berhad
38,MPSOL,03019.KL,Consumer Products & Services,Consumer Services,0.07,0.0,0.0,15.6,Matrix Parking Solution Holdings Berhad
39,PECCA,5271.KL,Industrial Products & Services,Auto Parts,1.46,1.4,46506.0,1097.92,Pecca Group Berhad
40,LSH,03047.KL,Construction,Construction,0.845,0.0,0.0,596.87,Lim Seong Hai Capital Berhad
41,LSH,03047.KL,Construction,Construction,0.845,0.0,0.0,596.87,
42,CHB,0291.KL,Industrial Products & Services,Industrial Services,0.82,1.2,2370.0,304.83,Critical Holdings Berhad
43,NEXG,5216.KL,Technology,Digital Services,0.26,2.0,945798.0,772.49,NEXG Berhad
44,INFOTEC,0253.KL,Technology,Digital Services,0.8,-5.9,4199.0,290.58,Infoline Tec Group Berhad
45,INNO,6262.KL,Plantation,Plantation,1.85,5.7,11896.0,885.89,Innoprise Plantations Berhad
46,KGB,0151.KL,Industrial Products & Services,Industrial Engineering,3.36,-1.2,4847.0,2421.25,Kelington Group Berhad
47,CLOUDPT,0277.KL,Technology,Digital Services,0.775,0.0,30644.0,411.99,Cloudpoint Technology Berhad
48,FOCUSP,0157.KL,Consumer Products & Services,Personal Goods,0.745,2.8,2039.0,344.19,Focus Point Holdings Berhad
49,CUSCAPI,0051.KL,Technology,Software,0.195,2.6,12863.0,184.25,Cuscapi Berhad
50,MYEG,0138.KL,Technology,Digital Services,0.91,1.1,412326.0,6943.33,My E.G. Services Berhad
51,MAXIS,6012.KL,Telecommunications & Media,Telecommunications Service Providers,3.41,-2.3,26898.0,26710.94,Maxis Berhad
52,SDS,0212.KL,Consumer Products & Services,Food & Beverages,1.05,5.0,1983.0,430.11,SDS Group Berhad
53,POLYDM,03031.KL,Industrial Products & Services,"Industrial Materials, Components & Equipment",0.75,0.0,0.0,66.18,Polydamic Group Berhad
54,WPRTS,5246.KL,Transportation & Logistics,Transportation & Logistics Services,4.64,0.9,9391.0,15822.4,Westports Holdings Berhad
55,ASTRA,03032.KL,Consumer Products & Services,Food & Beverages,0.5,0.0,0.0,136.08,Astramina Group Berhad
56,EDEN,7471.KL,Utilities,Electricity,0.165,3.1,17491.0,83.38,Eden Inc. Berhad
57,SENFONG,5308.KL,Industrial Products & Services,Industrial Services,0.865,0.0,6000.0,624.23,Seng Fong Holdings Berhad
58,APOLLO,6432.KL,Consumer Products & Services,Food & Beverages,6.79,0.6,64.0,543.2,Apollo Food Holdings Berhad
59,MCLEAN,0167.KL,Industrial Products & Services,Industrial Services,0.31,0.0,22547.0,76.33,MClean Technologies Berhad
60,99SMART,5326.KL,Consumer Products & Services,Retailers,2.06,1.5,45638.0,17304.0,99 Speed Mart Retail Holdings Berhad
61,NORTHERN,0340.KL,Energy,Renewable Energy,0.54,12.5,18704.0,213.62,Northern Solar Holdings Berhad
62,DXN,5318.KL,Consumer Products & Services,Retailers,0.505,1.0,39066.0,2517.42,DXN Holdings Bhd.
63,REDTONE,0032.KL,Telecommunications & Media,Telecommunications Service Providers,0.56,1.8,967.0,438.17,REDtone Digital Berhad
64,SYNERGY,0279.KL,Consumer Products & Services,Houshold Goods,0.915,-6.6,2186.0,457.5,Synergy House Berhad
65,HEGROUP,0296.KL,Industrial Products & Services,Industrial Services,0.32,-3.0,9318.0,140.8,HE Group Berhad
66,LFECORP,7170.KL,Industrial Products & Services,Industrial Engineering,0.215,0.0,3191.0,250.27,LFE Corporation Berhad
67,ICTZONE,03038.KL,Technology,Technology Equipment,0.28,0.0,0.0,185.49,ICT Zone Asia Berhad
68,HEXTAR,5151.KL,Industrial Products & Services,Chemicals,0.89,-0.6,44672.0,3505.94,Hextar Global Berhad
69,INFOM,0265.KL,Technology,Technology Equipment,1.04,-1.0,1662.0,625.3,Infomina Berhad
70,SUNCON,5263.KL,Construction,Construction,4.24,3.7,53441.0,5481.94,Sunway Construction Group Berhad
71,SSB8,0045.KL,Construction,Construction,0.45,0.0,16745.0,1022.67,Southern Score Builders Berhad
72,PMETAL,8869.KL,Industrial Products & Services,Metals,5.0,3.1,28902.0,41198.09,Press Metal Aluminium Holdings Berhad
73,KENERGY,0307.KL,Industrial Products & Services,"Industrial Materials, Components & Equipment",0.7,2.9,3979.0,385.0,
74,GOLDETF,0828EA.KL,ETF-Commodity,Commodity Fund,4.01,0.3,616.0,141.54,
75,HAWK,0320.KL,Energy,"Energy, Infrastructure, Equipment & Services",0.42,0.0,21065.0,205.8,Steel Hawk Berhad
76,SPTOTO,1562.KL,Consumer Products & Services,"Travel, Leisure & Hospitality",1.47,0.0,2492.0,1986.01,Sports Toto Berhad
77,GCB,5102.KL,Consumer Products & Services,Food & Beverages,3.88,9.3,58971.0,4558.67,Guan Chong Berhad
78,PANDA,0290.KL,Technology,Software,0.29,-3.3,13884.0,194.64,Panda Eco System Berhad
79,VLB,0273.KL,Construction,Construction,0.515,0.0,3551.0,486.32,Vestland Berhad
80,ITMAX,5309.KL,Technology,Digital Services,4.08,4.6,19199.0,4207.28,ITMAX System Berhad
81,TM,4863.KL,Telecommunications & Media,Telecommunications Service Providers,6.8,0.4,45186.0,26096.39,Telekom Malaysia Berhad
82,CARIMIN,5257.KL,Energy,"Energy, Infrastructure, Equipment & Services",0.745,0.0,0.0,174.24,Carimin Petroleum Berhad
83,HLIND,3301.KL,Consumer Products & Services,Automotive,13.26,0.6,396.0,4348.0,Hong Leong Industries Berhad
84,FEYTECH,5322.KL,Industrial Products & Services,Auto Parts,0.45,-7.2,20445.0,379.44,Feytech Holdings Berhad
85,ZECON,7028.KL,Construction,Construction,0.495,0.0,700.0,73.49,Zecon Berhad
86,PWRWELL,0217.KL,Industrial Products & Services,"Industrial Materials, Components & Equipment",0.39,-2.5,58930.0,226.42,Powerwell Holdings Berhad
87,DLADY,3026.KL,Consumer Products & Services,Food & Beverages,28.3,2.5,113.0,1811.2,Dutch Lady Milk Industries Berhad
88,SIGN,7246.KL,Consumer Products & Services,Houshold Goods,1.5,0.0,311.0,968.25,Signature International Berhad
89,UUE,0310.KL,Construction,Construction,0.645,-0.8,6458.0,392.35,UUE Holdings Berhad
90,TAKAFUL,6139.KL,Financial Services,Insurance,3.53,0.0,5817.0,3078.81,Syarikat Takaful Malaysia Keluarga Berhad
91,SCICOM,0099.KL,Industrial Products & Services,Industrial Services,0.76,0.0,2086.0,270.14,Scicom (MSC) Berhad
92,PERDANA,7108.KL,Energy,"Energy, Infrastructure, Equipment & Services",0.19,0.0,27715.0,423.14,Perdana Petroleum Berhad
93,FRONTKN,0128.KL,Technology,Semiconductors,3.53,2.0,36714.0,5626.53,Frontken Corporation Berhad
94,OPTIMAX,0222.KL,Health Care,Health Care Providers,0.54,0.0,3091.0,293.38,Optimax Holdings Berhad
95,PETDAG,5681.KL,Consumer Products & Services,Retailers,17.9,-3.0,7493.0,17782.83,PETRONAS Dagangan Berhad
96,WASCO,5142.KL,Energy,"Energy, Infrastructure, Equipment & Services",0.945,0.0,2989.0,732.27,Wasco Berhad
97,KMLOONG,5027.KL,Plantation,Plantation,2.29,0.4,1532.0,2241.99,Kim Loong Resources Berhad
98,PTRB,0260.KL,Consumer Products & Services,Food & Beverages,0.38,0.0,1763.0,203.31,PT Resources Holdings Berhad
99,MNHLDG,0245.KL,Construction,Construction,1.02,2.0,44665.0,569.26,MN Holdings Berhad
100,TAS,5149.KL,Transportation & Logistics,Transportation Equipment,0.63,2.4,1358.0,113.4,TAS Offshore Berhad
101,SCGBHD,0225.KL,Industrial Products & Services,"Industrial Materials, Components & Equipment",1.09,3.8,82079.0,1003.94,Southern Cable Group Berhad
102,LHI,6633.KL,Consumer Products & Services,Agricultural Products,0.62,4.2,102069.0,2264.06,Leong Hup International Berhad
103,FPHB,0304.KL,Consumer Products & Services,Consumer Services,0.36,1.4,957.0,162.0,Farm Price Holdings Berhad
104,ELRIDGE,0318.KL,Energy,Renewable Energy,0.47,1.1,89261.0,940.0,Elridge Energy Holdings Berhad
105,REXIT,0106.KL,Technology,Software,0.615,0.8,2351.0,116.44,Rexit Berhad
106,MOBILIA,0229.KL,Consumer Products & Services,Houshold Goods,0.135,3.8,9341.0,94.5,Mobilia Holdings Berhad
107,CIHLDG,2828.KL,Consumer Products & Services,Food & Beverages,2.66,2.3,1.0,430.92,C.I. Holdings Berhad
108,INTA,0192.KL,Construction,Construction,0.45,2.3,9808.0,248.92,Inta Bina Group Berhad
109,GREATEC,0208.KL,Technology,Technology Equipment,1.54,-3.1,47725.0,3867.59,Greatech Technology Berhad
110,CTOS,5301.KL,Technology,Digital Services,1.07,-2.7,42340.0,2471.7,CTOS Digital Berhad
111,NATGATE,0270.KL,Industrial Products & Services,"Industrial Materials, Components & Equipment",1.41,-2.8,394268.0,3210.12,NationGate Holdings Berhad
112,DYNAMIC,03058.KL,Technology,Software,0.275,0.0,0.0,68.75,
113,UTDPLT,2089.KL,Plantation,Plantation,22.8,0.1,4201.0,14235.29,United Plantations Berhad
114,TAFI,7211.KL,Consumer Products & Services,Houshold Goods,0.52,0.0,0.0,197.3,TAFI Industries Berhad
115,MAGNI,7087.KL,Consumer Products & Services,Personal Goods,2.39,0.0,1388.0,1037.14,Magni-Tech Industries Berhad
116,DAYANG,5141.KL,Energy,"Energy, Infrastructure, Equipment & Services",1.7,0.6,37277.0,1968.21,Dayang Enterprise Holdings Bhd
117,KRETAM,1996.KL,Plantation,Plantation,0.51,3.0,21.0,1187.09,Kretam Holdings Berhad
118,BETA,0263.KL,Industrial Products & Services,Auto Parts,0.415,1.2,3426.0,186.75,Betamek Berhad
119,LTKM,7085.KL,Consumer Products & Services,Agricultural Products,1.19,1.7,4138.0,170.31,LTKM Berhad
120,SOLID,5242.KL,Consumer Products & Services,Automotive,0.175,6.1,1.0,90.89,Solid Automotive Berhad
121,KOPI,0338.KL,Consumer Products & Services,Food & Beverages,0.695,4.5,55259.0,1390.0,Oriental Kopi Holdings Berhad
122,CBHB,0339.KL,Industrial Products & Services,Industrial Services,0.27,1.9,28930.0,507.84,CBH Engineering Holding Berhad
123,TOPMIX,0302.KL,Industrial Products & Services,Building Materials,0.45,0.0,226.0,177.24,Topmix Berhad
124,YINSON,7293.KL,Energy,"Energy, Infrastructure, Equipment & Services",2.25,-2.2,88499.0,6928.44,Yinson Holdings Berhad
125,LAYHONG,9385.KL,Consumer Products & Services,Agricultural Products,0.33,3.1,13553.0,250.01,Lay Hong Berhad
126,DELEUM,5132.KL,Energy,"Energy, Infrastructure, Equipment & Services",1.45,0.7,2024.0,582.25,Deleum Berhad
127,PENERGY,5133.KL,Energy,"Energy, Infrastructure, Equipment & Services",1.2,-3.2,1800.0,386.1,Petra Energy Berhad
128,MNRB,6459.KL,Financial Services,Insurance,1.95,1.0,2878.0,1527.02,MNRB Holdings Berhad
129,XOXTECH,0017.KL,Telecommunications & Media,Telecommunications Equipment,0.05,-9.1,6.0,44.81,XOX Technology Berhad
130,CCIB,03053.KL,Consumer Products & Services,Consumer Services,0.33,0.0,0.0,158.3,
131,SBAGAN,2569.KL,Plantation,Plantation,5.86,0.0,60.0,545.47,Sungei Bagan Rubber Company (Malaya) Berhad
132,LPI,8621.KL,Financial Services,Insurance,13.74,1.2,456.0,5473.78,LPI Capital Bhd
133,KOTRA,0002.KL,Health Care,Pharmaceuticals,4.12,0.0,22.0,611.05,Kotra Industries Berhad
134,BIG,7005.KL,Industrial Products & Services,Diversified Industrials,0.515,-8.0,93.0,32.69,B.I.G. Industries Berhad
135,KITACON,5310.KL,Construction,Construction,0.72,1.4,125.0,360.22,Kumpulan Kitacon Berhad
136,PGLOBE,3611.KL,Property,Property,0.61,0.8,43614.0,455.44,Paragon Globe Berhad
137,OFI,7107.KL,Consumer Products & Services,Food & Beverages,1.51,0.0,616.0,362.4,Oriental Food Industries Holdings Berhad
138,EQ8US50,0827EA.KL,ETF-Equity,Equity Fund,2.87,-0.5,50.0,34.19,
139,YTLPOWR,6742.KL,Utilities,"Gas, Water & Multi-Utilities",3.04,3.1,171184.0,25153.91,YTL Power International Berhad
140,MUDAJYA,5085.KL,Construction,Construction,0.1,-4.8,1294.0,265.74,Mudajaya Group Berhad
141,LAGENDA,7179.KL,Property,Property,1.2,-0.8,3687.0,1004.79,Lagenda Properties Berhad
142,MBMR,5983.KL,Consumer Products & Services,Automotive,5.46,0.2,1906.0,2134.25,MBM Resources Berhad
143,NAIM,5073.KL,Property,Property,0.88,1.7,1946.0,452.14,Naim Holdings Berhad
144,MY-MOMETF,0836EA.KL,ETF-Equity,Equity Fund,1.13,0.4,1.0,1.58,
145,PAM-A40M,0822EA.KL,ETF-Equity,Equity Fund,1.55,0.0,0.0,2.09,
146,MTEC,0295.KL,Industrial Products & Services,"Industrial Materials, Components & Equipment",1.03,-1.0,1126.0,1050.6,Master Tec Group Berhad
147,FFB,5306.KL,Consumer Products & Services,Food & Beverages,1.73,3.0,34481.0,3243.9,Farm Fresh Berhad
148,LBS,5789.KL,Property,Property,0.48,1.1,12864.0,758.52,LBS Bina Group Berhad
149,JTGROUP,0292.KL,Construction,Construction,0.35,2.9,11638.0,137.13,Jati Tinggi Group Berhad
150,QL,7084.KL,Consumer Products & Services,Agricultural Products,4.84,1.3,33191.0,17668.35,QL Resources Berhad
151,TPC,7176.KL,Consumer Products & Services,Agricultural Products,0.32,0.0,0.0,98.63,TPC Plus Berhad
152,F&N,3689.KL,Consumer Products & Services,Food & Beverages,25.36,1.3,504.0,9301.5,Fraser & Neave Holdings Bhd
153,MKHOP,5319.KL,Plantation,Plantation,0.635,0.8,4097.0,649.98,MKH Oil Palm (East Kalimantan) Berhad
154,IFCAMSC,0023.KL,Technology,Software,0.46,1.1,19743.0,279.81,IFCA MSC Berhad
155,ABLEGLOB,7167.KL,Consumer Products & Services,Food & Beverages,1.45,-2.0,2250.0,450.18,Able Global Berhad
156,GFM,0039.KL,Industrial Products & Services,Industrial Services,0.215,4.9,12376.0,163.3,GFM Services Berhad
157,RCECAP,9296.KL,Financial Services,Other Financials,1.32,7.3,13861.0,1959.5,RCE Capital Berhad
158,KERJAYA,7161.KL,Construction,Construction,2.08,-0.5,18744.0,2635.79,Kerjaya Prospek Group Berhad
159,AGX,0299.KL,Transportation & Logistics,Transportation & Logistics Services,0.545,2.8,12259.0,235.91,AGX Group Berhad
160,KPJ,5878.KL,Health Care,Health Care Providers,2.78,4.5,152549.0,12583.97,KPJ Healthcare Berhad
161,VSTECS,5162.KL,Technology,Technology Equipment,3.05,3.0,3587.0,1098.0,VSTECS Berhad
162,WELLS,0271.KL,Consumer Products & Services,Food & Beverages,0.66,0.8,10219.0,470.0,Wellspire Holdings Berhad
163,SCIENTX,4731.KL,Industrial Products & Services,Packaging Materials,3.53,-3.0,7479.0,5493.63,Scientex Berhad
164,MMIS,03027.KL,Industrial Products & Services,"Industrial Materials, Components & Equipment",0.2,0.0,0.0,120.0,MMIS Berhad
165,PEKAT,0233.KL,Energy,Renewable Energy,1.19,-0.8,4129.0,767.51,Pekat Group Berhad
166,IGBREIT,5227.KL,Real Estate Investment Trusts,Real Estate Investment Trusts,2.27,2.3,18026.0,8213.83,IGB Real Estate Investment Trust
167,GDB,0198.KL,Construction,Construction,0.32,6.7,6270.0,300.0,GDB Holdings Berhad
168,ASTRO,6399.KL,Telecommunications & Media,Media,0.19,-5.0,45816.0,991.61,Astro Malaysia Holdings Berhad
169,PBA,5041.KL,Utilities,"Gas, Water & Multi-Utilities",1.97,1.0,3185.0,652.6,PBA Holdings Bhd
170,SAMAIDEN,0223.KL,Energy,Renewable Energy,1.08,0.0,7795.0,453.63,Samaiden Group Berhad
171,INGENIEU,5178.KL,Industrial Products & Services,Metals,0.03,0.0,262553.0,45.5,Ingenieur Gudang Berhad
172,WMG,6378.KL,Property,Property,0.39,0.0,800.0,338.19,WMG Holdings Bhd.
173,AURORA,03037.KL,Consumer Products & Services,Personal Goods,0.22,0.0,0.0,137.73,
174,POHKONG,5080.KL,Consumer Products & Services,Retailers,0.985,1.0,2470.0,404.2,Poh Kong Holdings Berhad
175,EG,8907.KL,Industrial Products & Services,"Industrial Materials, Components & Equipment",2.04,1.0,4850.0,954.32,EG Industries Berhad
176,AEONCR,5139.KL,Financial Services,Other Financials,5.62,0.0,725.0,2869.66,AEON Credit Service (M) Berhad
177,ALLIANZ,1163.KL,Financial Services,Insurance,18.54,0.5,327.0,3329.21,Allianz Malaysia Berhad
178,ARK,7007.KL,Property,Property,0.25,0.0,206.0,22.62,ARK Resources Holdings Berhad
179,PETGAS,6033.KL,Utilities,"Gas, Water & Multi-Utilities",17.38,-0.6,6967.0,34390.36,PETRONAS Gas Berhad
180,MFCB,3069.KL,Utilities,Electricity,4.08,-1.0,13485.0,4032.48,Mega First Corporation Berhad
181,LGMS,0249.KL,Technology,Digital Services,0.87,-4.9,7739.0,396.72,LGMS Berhad
182,FAREAST,5029.KL,Plantation,Plantation,3.45,0.0,0.0,2048.74,Far East Holdings Berhad
183,AGMO,0258.KL,Technology,Software,0.4,2.6,3537.0,130.0,Agmo Holdings Berhad
184,TOMEI,7230.KL,Consumer Products & Services,Retailers,1.66,-0.6,1395.0,230.08,Tomei Consolidated Berhad
185,EDARAN,5036.KL,Technology,Technology Equipment,1.22,14.0,1335.0,73.2,Edaran Berhad
186,JCBNEXT,0058.KL,Industrial Products & Services,Industrial Services,1.63,0.6,10.0,214.14,JcbNext Berhad
187,UTAMA,03043.KL,Industrial Products & Services,Building Materials,0.27,0.0,0.0,90.02,
188,YGL,0086.KL,Technology,Software,0.135,0.0,1911.0,36.95,Ygl Convergence Berhad
189,OPENSYS,0040.KL,Technology,Software,0.32,1.6,3002.0,142.99,OpenSys (M) Berhad
190,MBL,5152.KL,Industrial Products & Services,"Industrial Materials, Components & Equipment",0.38,-1.3,1123.0,94.55,Muar Ban Lee Group Berhad
191,RGS,03052.KL,Industrial Products & Services,Industrial Services,0.15,0.0,0.0,38.25,Ray Go Solar Holdings Berhad
192,DKSH,5908.KL,Consumer Products & Services,Consumer Services,4.78,0.6,67.0,753.61,DKSH Holdings (Malaysia) Berhad
193,ATECH,5302.KL,Industrial Products & Services,"Industrial Materials, Components & Equipment",3.03,3.1,300.0,1313.43,Aurelius Technologies Berhad
194,SNS,0259.KL,Technology,Technology Equipment,0.37,2.8,141672.0,620.03,SNS Network Technology Berhad
195,IDEAL,9687.KL,Property,Property,3.8,0.0,0.0,1900.0,Ideal Capital Berhad
196,PBBANK,1295.KL,Financial Services,Banking,4.63,2.2,391554.0,89871.5,Public Bank Berhad
197,HARBOUR,2062.KL,Transportation & Logistics,Transportation & Logistics Services,1.38,0.0,623.0,552.55,Harbour-Link Group Berhad
198,PADINI,7052.KL,Consumer Products & Services,Retailers,1.85,-0.5,8703.0,1825.7,Padini Holdings Berhad
199,PA,7225.KL,Industrial Products & Services,Metals,0.2,5.3,130056.0,300.95,P.A. Resources Berhad
200,ATRIUM,5130.KL,Real Estate Investment Trusts,Real Estate Investment Trusts,1.26,0.0,350.0,334.59,Atrium Real Estate Investment Trust
201,HIBISCS,5199.KL,Energy,Oil & Gas Producers,1.6,2.6,93832.0,1229.44,Hibiscus Petroleum Berhad
202,SUNMOW,03050.KL,Construction,Construction,1.24,0.0,0.0,290.09,Sunmow Holding Berhad
203,UMC,0256.KL,Health Care,Health Care Equipment & Services,0.475,2.2,1226.0,177.61,UMediC Group Berhad
204,CCK,7035.KL,Consumer Products & Services,Food & Beverages,1.2,0.0,3470.0,756.86,CCK Consolidated Holdings Berhad
205,YTL,4677.KL,Utilities,"Gas, Water & Multi-Utilities",1.86,5.7,173358.0,20660.13,YTL Corporation Berhad
206,SKPRES,7155.KL,Industrial Products & Services,"Industrial Materials, Components & Equipment",0.995,0.5,5142.0,1554.92,SKP Resources Bhd
207,FPI,9172.KL,Consumer Products & Services,Houshold Goods,2.64,0.4,3615.0,681.44,Formosa Prosonic Industries Berhad
208,SANCY,03057.KL,Technology,Software,0.35,0.0,0.0,237.71,
209,WELLCHIP,5325.KL,Financial Services,Other Financials,1.04,-6.3,9503.0,624.0,Well Chip Group Berhad
210,TPTEC,03061.KL,Industrial Products & Services,Industrial Services,0.22,0.0,0.0,55.0,
211,APEX,5088.KL,Financial Services,Other Financials,0.915,0.0,0.0,195.41,Apex Equity Holdings Berhad
212,SLVEST,0215.KL,Energy,Renewable Energy,1.69,0.6,33144.0,1239.18,Solarvest Holdings Berhad
213,SWKPLNT,5135.KL,Plantation,Plantation,2.27,0.9,157.0,635.6,Sarawak Plantation Berhad
214,LEESK,8079.KL,Consumer Products & Services,Houshold Goods,0.505,2.0,2037.0,127.12,Lee Swee Kiat Group Berhad
215,SDG,5285.KL,Plantation,Plantation,4.95,1.0,24865.0,34232.79,SD Guthrie Berhad
216,SOP,5126.KL,Plantation,Plantation,3.05,1.3,1661.0,2725.57,Sarawak Oil Palms Berhad
217,PESONA,8311.KL,Construction,Construction,0.275,1.9,5689.0,191.12,Pesona Metro Holdings Berhad
218,UNIQUE,0257.KL,Industrial Products & Services,Industrial Services,0.365,2.8,4945.0,146.0,Unique Fire Holdings Berhad
219,SMETRIC,0203.KL,Technology,Software,0.175,0.0,3139.0,100.99,Securemetric Berhad
220,NOTION,0083.KL,Technology,Technology Equipment,0.72,5.1,76508.0,378.57,Notion VTec Berhad
221,EPICON,4847.KL,Construction,Construction,0.195,2.6,2729.0,122.36,Epicon Berhad
222,SEM,5250.KL,Consumer Products & Services,Retailers,1.97,0.5,55.0,2308.28,7-Eleven Malaysia Holdings Berhad
223,KLCI1XI,0835EA.KL,,,1.735,0.0,0.0,1.74,
224,AWC,7579.KL,Industrial Products & Services,Industrial Services,0.86,1.2,3177.0,292.19,AWC Berhad
225,KUCINGKO,0315.KL,Telecommunications & Media,Media,0.17,6.3,30158.0,85.0,Kucingko Berhad
226,MSC,5916.KL,Industrial Products & Services,Metals,2.33,8.4,10756.0,978.6,Malaysia Smelting Corporation Berhad
227,CIMB,1023.KL,Financial Services,Banking,7.8,-2.5,381345.0,83711.76,CIMB Group Holdings Berhad
228,BPURI,5932.KL,Construction,Construction,0.335,-1.5,92873.0,270.02,Bina Puri Holdings Bhd
229,HOMERIZ,5160.KL,Consumer Products & Services,Houshold Goods,0.575,0.9,351.0,266.37,Homeritz Corporation Berhad
230,KSL,5038.KL,Property,Property,1.5,0.7,11960.0,1556.26,KSL Holdings Berhad
231,TALIWRK,8524.KL,Utilities,"Gas, Water & Multi-Utilities",0.7,-2.8,14128.0,1411.07,Taliworks Corporation Berhad
232,MCEHLDG,7004.KL,Industrial Products & Services,Auto Parts,1.54,0.7,100.0,209.35,MCE Holdings Berhad
233,MAYBANK,1155.KL,Financial Services,Banking,10.58,-0.2,99490.0,127668.35,Malayan Banking Berhad
234,RAMSSOL,0236.KL,Technology,Software,0.83,0.0,46536.0,298.35,Ramssol Group Berhad
235,HLBANK,5819.KL,Financial Services,Banking,21.3,1.4,12900.0,46172.4,Hong Leong Bank Berhad
